invoice_id,branch,city,category,payment_method,date,unit_price,quantity,rating,profit_margin,total_price,year,month
1,WALM003,San Antonio,Health and beauty,Ewallet,2019-05-01,74.69,7.0,9.1,0.48,522.8299999999999,2019,may
2,WALM048,Harlingen,Electronic accessories,Cash,2019-08-03,15.28,5.0,9.6,0.48,76.39999999999999,2019,august
3,WALM067,Haltom City,Home and lifestyle,Credit card,2019-03-03,46.33,7.0,7.4,0.33,324.31,2019,march
4,WALM064,Bedford,Health and beauty,Ewallet,2019-01-27,58.22,8.0,8.4,0.33,465.76,2019,january
5,WALM013,Irving,Sports and travel,Ewallet,2019-08-02,86.31,7.0,5.3,0.48,604.1700000000001,2019,august
6,WALM026,Denton,Electronic accessories,Ewallet,2019-03-25,85.39,7.0,4.1,0.48,597.73,2019,march
7,WALM088,Cleburne,Electronic accessories,Ewallet,2019-02-25,68.84,6.0,5.8,0.33,413.04,2019,febuary
8,WALM100,Canyon,Home and lifestyle,Ewallet,2019-02-24,73.56,10.0,8.0,0.18,735.6,2019,febuary
9,WALM066,Grapevine,Health and beauty,Credit card,2019-10-01,36.26,2.0,7.2,0.33,72.52,2019,october
10,WALM065,Texas City,Food and beverages,Credit card,2019-02-20,54.84,3.0,5.9,0.33,164.52,2019,febuary
11,WALM013,Irving,Fashion accessories,Ewallet,2019-06-02,14.48,4.0,4.5,0.48,57.92,2019,june
12,WALM035,San Angelo,Electronic accessories,Cash,2019-09-03,25.51,4.0,6.8,0.48,102.04,2019,september
13,WALM027,Abilene,Electronic accessories,Ewallet,2019-12-02,46.95,5.0,7.1,0.48,234.75,2019,december
14,WALM035,San Angelo,Food and beverages,Ewallet,2019-07-02,43.19,10.0,8.2,0.48,431.9,2019,july
15,WALM031,Lewisville,Health and beauty,Cash,2019-03-29,71.38,10.0,5.7,0.48,713.8,2019,march
16,WALM008,Corpus Christi,Sports and travel,Cash,2019-01-15,93.72,6.0,4.5,0.48,562.3199999999999,2019,january
17,WALM029,Round Rock,Health and beauty,Credit card,2019-11-03,68.93,7.0,4.6,0.48,482.51000000000005,2019,november
18,WALM061,Cedar Park,Sports and travel,Credit card,2019-01-01,72.61,6.0,6.9,0.33,435.65999999999997,2019,january
19,WALM053,Conroe,Food and beverages,Credit card,2019-01-21,54.67,3.0,8.6,0.57,164.01,2019,january
20,WALM013,Irving,Home and lifestyle,Ewallet,2019-11-03,40.3,2.0,4.4,0.48,80.6,2019,november
21,WALM044,Pharr,Electronic accessories,Ewallet,2019-02-25,86.04,5.0,4.8,0.48,430.20000000000005,2019,febuary
22,WALM088,Cleburne,Health and beauty,Ewallet,2019-05-03,87.98,3.0,5.1,0.33,263.94,2019,may
23,WALM083,Farmers Branch,Home and lifestyle,Credit card,2019-03-15,33.2,2.0,4.4,0.33,66.4,2019,march
24,WALM067,Haltom City,Electronic accessories,Ewallet,2019-02-17,34.56,5.0,9.9,0.33,172.8,2019,febuary
25,WALM023,Midland,Sports and travel,Ewallet,2019-02-03,88.63,3.0,6.0,0.48,265.89,2019,febuary
26,WALM001,Houston,Home and lifestyle,Credit card,2019-03-22,52.59,8.0,8.5,0.36,420.72,2019,march
27,WALM072,Lancaster,Fashion accessories,Cash,2019-08-02,33.52,1.0,6.7,0.33,33.52,2019,august
28,WALM046,Temple,Fashion accessories,Credit card,2019-10-03,87.67,2.0,7.7,0.48,175.34,2019,october
29,WALM012,Garland,Food and beverages,Cash,2019-01-25,88.36,5.0,9.6,0.48,441.8,2019,january
30,WALM075,San Marcos,Health and beauty,Cash,2019-03-15,24.89,9.0,7.4,0.33,224.01,2019,march
